запрос,показы,клики,позиция,ctr_%,топ_страница
лагерь для 7 летнего ребенка atmosphere,4,0,3.2,0.0,/
лагерь для детей 2026,4,0,16.2,0.0,/
лагерь для детей 7 лет в подмосковье atmosphere camp,4,0,6.3,0.0,/
лагерь для детей подростков atmosphere,4,0,6.0,0.0,/
лагерь для детей подростков atmosphere camp,4,0,7.0,0.0,/
лагерь для подростка 12 лет atmosphere camp,4,0,7.5,0.0,/
лагерь для подростка отзывы atmosphere,4,0,5.8,0.0,/
лагерь для подростков 13 лет atmosphere camp,4,0,4.8,0.0,/
лагерь для подростков 15 лет atmosphere,4,0,12.0,0.0,/
лагерь летний для детей 2026,4,0,7.0,0.0,/
лагерь на море для детей 2026 atmosphere,4,0,8.5,0.0,/
лагерь подмосковья,4,1,7.2,25.0,/
лагерь с программированием,4,0,3.8,0.0,/
лагерь с программированием дети,4,0,4.5,0.0,/
лагеря 2026,4,0,28.0,0.0,/
лагеря в подмосковье на лето для подростков atmosphere,4,0,4.8,0.0,/
лагеря летние,4,0,6.0,0.0,/
летние курсы программирования детям,4,0,1.7,0.0,/
летние курсы программирования для детей,4,0,5.3,0.0,/
летние лагеря в,4,2,4.8,50.0,/
летние лагеря для детей 11 atmosphere,4,0,6.0,0.0,/
летние школы для подростков,4,0,3.5,0.0,/
летний it лагерь для детей бест камп,4,0,6.5,0.0,/
летний лагерь it для детей,4,1,3.8,25.0,/
летний лагерь айти,4,1,4.5,25.0,/
летний лагерь в москве эксперт онлайн,4,0,3.2,0.0,/
летний лагерь в подмосковье atmosphere,4,0,8.5,0.0,/
летний лагерь в подмосковье vlagere,4,0,8.8,0.0,/lager-na-iyun/
летний лагерь в подмосковье для детей,4,0,11.2,0.0,/
летний лагерь видное,4,0,10.0,0.0,/lager-vidnoe/
летний лагерь для детей 10 лет atmosphere camp,4,0,7.8,0.0,/
летний лагерь для детей 8 лет atmosphere camp,4,0,8.0,0.0,/
летний лагерь для детей в подмосковье 2026 atmosphere camp,4,0,7.2,0.0,/
летний лагерь для детей графический дизайн,4,0,5.2,0.0,/stati/tpost/9dm6t69pj1-letnii-lager-graficheskii-dizain-dlya-po/
летний лагерь для подростков в подмосковье atmosphere,4,0,6.0,0.0,/
летний лагерь по программированию,4,0,7.7,0.0,/
летний лагерь подростков,4,0,5.3,0.0,/
летний лагерь программирование бест камп,4,0,4.3,0.0,/
можно ли за лагерь вернуть 13 процентов,4,0,9.7,0.0,/nalogovyj-vychet/
мой первый раз в лагере,4,0,8.8,0.0,/stati/pervyj-raz-v-lagere/
норма экранного времени для 14 лет,4,0,11.2,0.0,/stati/ekrannoe-vremya-detej-norma/
объясни ребенку 10 лет что такое нейросеть,4,0,6.3,0.0,/stati/nejroseti-dlya-detej/
питание в лагере,4,0,11.3,0.0,/stati/pitanie-v-detskom-lagere/
питание в лагере программирование дети,4,0,2.1,0.0,/
подмосковные лагеря для подростков atmosphere camp,4,0,7.0,0.0,/
подмосковье лагерь atmosphere,4,0,9.8,0.0,/
путевка в лагерь цена atmosphere camp,4,0,8.3,0.0,/
путевки в летний лагерь для детей atmosphere camp,4,0,4.8,0.0,/
ребенку в лагерь,4,2,1.2,50.0,/
сколько времени можно проводить в телефоне ребенку 12 лет,4,0,9.5,0.0,/stati/ekrannoe-vremya-detej-norma/
сколько времени ребенок 10 лет может сидеть в телефоне,4,0,9.0,0.0,/stati/ekrannoe-vremya-detej-norma/
скретч и родители,4,0,8.8,0.0,/stati/scratch-dlya-detej/
тематические лагеря для подростков atmosphere camp,4,0,9.3,0.0,/
чем отличается образовательная смена от лагеря,4,0,3.5,0.0,/stati/poleznyj-otdyh-dlya-detej/
что обычно делают в лагере,4,0,5.0,0.0,/stati/zhizn-v-lagere-dlya-detej/
3 смена лагерь,3,0,10.7,0.0,/
5 разовое питание в оагере,3,0,3.0,0.0,/stati/pitanie-v-detskom-lagere/
aida camp,3,0,5.0,0.0,/
aikadom.ru,3,0,10.0,0.0,/
calculashop,3,0,9.5,0.0,/
idschool.idte.ru,3,0,9.0,0.0,/
it каникулы дети,3,0,4.7,0.0,/
it лагерь айдакемп москва,3,1,5.0,33.3,/
it лагерь айдакемп мск,3,1,2.6,33.3,/
it лагерь для детей с программированием,3,0,2.7,0.0,/
ай да лагерь,3,1,5.6,33.3,/
